Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
607.cactuBSSN_s-4004B_4T,bingo,0.487787,0.471291,0.474313,0.469013,1024,946,78,0,0
607.cactuBSSN_s-4004B_4T,mlop,0.306765,0.329127,0.331891,0.306758,4544,671,75,0,0
607.cactuBSSN_s-4004B_4T,pythia,0.516288,0.516907,0.582523,0.515724,2010,331,68,0,0
607.cactuBSSN_s-4004B_4T,ppf,0,0,0,0,0,0,0,0,0
607.cactuBSSN_s-4004B_4T,dspatch,0.49587,0.496091,0.513463,0.508089,1784,738,73,0,0
619.lbm_s-2676B_4T,spp,0.654211,0.603877,0.618541,0.637438,2881,41,2436,0,0
619.lbm_s-2676B_4T,bingo,0.474208,0.499321,0.512668,0.464905,2889,440,2449,0,0
619.lbm_s-2676B_4T,mlop,0.472362,0.501404,0.512668,0.465312,2888,440,2448,0,0
619.lbm_s-2676B_4T,pythia,0.652755,0.660755,0.615385,0.637849,2885,30,2441,0,0
619.lbm_s-2676B_4T,ppf,0,0,0,0,0,0,0,0,0
619.lbm_s-2676B_4T,dspatch,0.474208,0.499321,0.512668,0.464905,2889,440,2449,0,0
619.lbm_s-2677B_4T,spp,0.50782,0.501228,0.483405,0.489707,3720,66,3107,0,0
619.lbm_s-2677B_4T,bingo,0.390063,0.399752,0.385532,0.396572,3728,610,3118,0,0
619.lbm_s-2677B_4T,mlop,0.413409,0.425243,0.407511,0.419003,3729,447,3104,0,0
619.lbm_s-2677B_4T,pythia,0.496539,0.489266,0.506529,0.48333,3723,38,3107,0,0
619.lbm_s-2677B_4T,ppf,0,0,0,0,0,0,0,0,0
619.lbm_s-2677B_4T,dspatch,0.390063,0.399752,0.385532,0.396572,3728,610,3118,0,0
619.lbm_s-3766B_4T,spp,0.890922,0.860133,0.862148,0.920543,1742,60,1473,0,0
619.lbm_s-3766B_4T,bingo,0.694424,0.701068,0.654528,0.654922,1742,265,1477,0,0
619.lbm_s-3766B_4T,mlop,0.694424,0.701068,0.654528,0.654922,1742,265,1477,0,0
619.lbm_s-3766B_4T,pythia,1.02101,1.02534,0.979759,1.00468,1736,19,1474,0,0
619.lbm_s-3766B_4T,ppf,0,0,0,0,0,0,0,0,0
619.lbm_s-3766B_4T,dspatch,0.694424,0.701068,0.654528,0.654922,1742,265,1477,0,0
619.lbm_s-4268B_4T,spp,0.475626,0.467868,0.460444,0.459842,3775,95,3155,0,0
619.lbm_s-4268B_4T,bingo,0.372699,0.393266,0.3854,0.38791,3780,620,3160,0,0
619.lbm_s-4268B_4T,mlop,0.382265,0.420296,0.413686,0.420478,3785,460,3153,0,0
619.lbm_s-4268B_4T,pythia,0.486675,0.489817,0.470522,0.479709,3777,40,3156,0,0
619.lbm_s-4268B_4T,ppf,0,0,0,0,0,0,0,0,0
619.lbm_s-4268B_4T,dspatch,0.372699,0.393266,0.3854,0.38791,3780,620,3160,0,0
621.wrf_s-6673B_4T,spp,0.884472,0.867189,0.877055,0.878322,1213,202,133,0,0
621.wrf_s-6673B_4T,bingo,0.428149,0.45684,0.41459,0.425259,1148,1014,134,0,0
621.wrf_s-6673B_4T,mlop,0.626249,0.659296,0.597115,0.590266,1325,487,134,0,0
621.wrf_s-6673B_4T,pythia,1.12539,1.17253,1.08577,1.16294,1229,62,133,0,0
621.wrf_s-6673B_4T,ppf,0,0,0,0,0,0,0,0,0
621.wrf_s-6673B_4T,dspatch,0.428149,0.45684,0.41459,0.425259,1148,1014,134,0,0
621.wrf_s-8065B_4T,spp,0.746176,0.74526,0.721321,0.745271,1406,298,211,0,0
621.wrf_s-8065B_4T,bingo,0.458754,0.458124,0.459074,0.457407,1316,1104,212,0,0
621.wrf_s-8065B_4T,mlop,0.556437,0.511796,0.558928,0.547811,1710,571,208,0,0
621.wrf_s-8065B_4T,pythia,0.84621,0.858949,0.877101,0.845094,1392,174,206,0,0
621.wrf_s-8065B_4T,ppf,0,0,0,0,0,0,0,0,0
621.wrf_s-8065B_4T,dspatch,0.458754,0.458124,0.459074,0.457407,1316,1104,212,0,0
627.cam4_s-490B_4T,spp,0.48011,0.483868,0.485631,0.479071,2095,343,541,0,0
627.cam4_s-490B_4T,bingo,0.321742,0.32166,0.322246,0.321395,2043,1502,541,0,0
627.cam4_s-490B_4T,mlop,0.508838,0.500025,0.517608,0.511273,2406,544,538,0,0
627.cam4_s-490B_4T,pythia,0.512783,0.512552,0.519841,0.517132,2131,189,539,0,0
627.cam4_s-490B_4T,ppf,0,0,0,0,0,0,0,0,0
627.cam4_s-490B_4T,dspatch,0.321742,0.32166,0.322246,0.321395,2043,1502,541,0,0
627.cam4_s-573B_4T,spp,0.733501,0.73128,0.710452,0.73018,2625,1,2624,0,0
627.cam4_s-573B_4T,bingo,0.733501,0.73128,0.710452,0.73018,2625,1,2624,0,0
627.cam4_s-573B_4T,mlop,0.733501,0.73128,0.710452,0.73018,2625,1,2624,0,0
627.cam4_s-573B_4T,pythia,0.731162,0.730063,0.728425,0.729243,2625,0,2624,0,0
627.cam4_s-573B_4T,ppf,0,0,0,0,0,0,0,0,0
627.cam4_s-573B_4T,dspatch,0.733501,0.73128,0.710452,0.73018,2625,1,2624,0,0
628.pop2_s-17B_4T,spp,0.847575,0.848853,0.849375,0.84117,520,93,135,0,0
628.pop2_s-17B_4T,bingo,0.7723,0.771855,0.771966,0.770653,480,345,135,0,0
628.pop2_s-17B_4T,mlop,0.7723,0.771855,0.771966,0.770653,480,345,135,0,0
628.pop2_s-17B_4T,pythia,0.874729,0.866401,0.866401,0.857148,528,50,133,0,0
628.pop2_s-17B_4T,ppf,0,0,0,0,0,0,0,0,0
628.pop2_s-17B_4T,dspatch,0.7723,0.771855,0.771966,0.770653,480,345,135,0,0
649.fotonik3d_s-10881B_4T,spp,0.457057,0.455344,0.455755,0.456415,1149,445,0,0,0
649.fotonik3d_s-10881B_4T,bingo,0.378897,0.378015,0.378455,0.379334,993,879,0,0,0
649.fotonik3d_s-10881B_4T,mlop,0.429236,0.42129,0.427844,0.42942,1163,634,0,0,0
649.fotonik3d_s-10881B_4T,pythia,0.519459,0.519767,0.512017,0.529889,1466,358,0,0,0
649.fotonik3d_s-10881B_4T,ppf,0,0,0,0,0,0,0,0,0
649.fotonik3d_s-10881B_4T,dspatch,0.439239,0.459432,0.432342,0.442207,1195,593,0,0,0
649.fotonik3d_s-1176B_4T,spp,1.12276,1.12304,1.11964,1.11256,698,31,0,0,0
649.fotonik3d_s-1176B_4T,bingo,0.515576,0.51531,0.516294,0.503885,670,670,0,0,0
649.fotonik3d_s-1176B_4T,mlop,0.590124,0.588727,0.587126,0.584894,687,495,0,0,0
649.fotonik3d_s-1176B_4T,pythia,1.21033,1.21239,1.21414,1.19717,682,19,0,0,0
649.fotonik3d_s-1176B_4T,ppf,0,0,0,0,0,0,0,0,0
649.fotonik3d_s-1176B_4T,dspatch,0.515576,0.51531,0.516294,0.503885,670,670,0,0,0
649.fotonik3d_s-7084B_4T,spp,1.05549,1.00496,1.02984,1.00253,1001,94,0,0,0
649.fotonik3d_s-7084B_4T,bingo,0.452258,0.418823,0.422967,0.423331,903,903,0,0,0
649.fotonik3d_s-7084B_4T,mlop,0.633687,0.590022,0.594747,0.598996,1128,492,0,0,0
649.fotonik3d_s-7084B_4T,pythia,1.25599,1.25757,1.25294,1.25438,972,33,0,0,0
649.fotonik3d_s-7084B_4T,ppf,0,0,0,0,0,0,0,0,0
649.fotonik3d_s-7084B_4T,dspatch,0.452258,0.418823,0.422967,0.423331,903,903,0,0,0
649.fotonik3d_s-8225B_4T,spp,1.16896,1.15776,1.17376,1.16079,670,15,0,0,0
649.fotonik3d_s-8225B_4T,bingo,0.606656,0.606244,0.608502,0.609318,658,658,0,0,0
649.fotonik3d_s-8225B_4T,mlop,0.684073,0.681221,0.686949,0.689326,688,493,0,0,0
649.fotonik3d_s-8225B_4T,pythia,1.25343,1.25655,1.25988,1.22644,662,11,0,0,0
649.fotonik3d_s-8225B_4T,ppf,0,0,0,0,0,0,0,0,0
649.fotonik3d_s-8225B_4T,dspatch,0.606656,0.606244,0.608502,0.609318,658,658,0,0,0
654.roms_s-1007B_4T,spp,0.561924,0.562347,0.563366,0.562114,143,17,28,0,0
654.roms_s-1007B_4T,bingo,0.509554,0.509861,0.510657,0.509632,137,109,28,0,0
654.roms_s-1007B_4T,mlop,0.509554,0.509861,0.510657,0.509632,137,109,28,0,0
654.roms_s-1007B_4T,pythia,0.577294,0.577545,0.577721,0.577279,153,3,28,0,0
654.roms_s-1007B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-1007B_4T,dspatch,0.509554,0.509861,0.510657,0.509632,137,109,28,0,0
654.roms_s-1070B_4T,spp,1.15273,1.17679,1.17076,1.17895,967,61,108,0,0
654.roms_s-1070B_4T,bingo,0.489472,0.490938,0.490225,0.491681,891,782,109,0,0
654.roms_s-1070B_4T,mlop,0.579328,0.582378,0.58154,0.583527,1063,510,109,0,0
654.roms_s-1070B_4T,pythia,1.26446,1.2881,1.2661,1.31118,963,29,108,0,0
654.roms_s-1070B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-1070B_4T,dspatch,0.489472,0.490938,0.490225,0.491681,891,782,109,0,0
654.roms_s-1390B_4T,spp,0.856287,0.862086,0.84106,0.84913,1438,64,191,0,0
654.roms_s-1390B_4T,bingo,0.359447,0.359846,0.344796,0.34502,1348,1156,192,0,0
654.roms_s-1390B_4T,mlop,0.540913,0.54792,0.518704,0.529414,1524,508,191,0,0
654.roms_s-1390B_4T,pythia,0.906114,0.912594,0.885305,0.882817,1424,34,192,0,0
654.roms_s-1390B_4T,ppf,0,0,0,0,0,0,0,0,0
654.roms_s-1390B_4T,dspatch,0.359447,0.359846,0.344796,0.34502,1348,1156,192,0,0
654.roms_s-1613B_4T,spp,0.702326,0.702463,0.703892,0.704198,140,20,24,0,0
654.roms_s-1613B_4T,bingo,0.634937,0.635051,0.636218,0.63647,120,96,24,0,0
654.roms_s-1613B_4T,mlop,0.634937,0.635051,0.636218,0.63647,120,96,24,0,0
654.roms_s-1613B_4T,pythia,0.729437,0.729501,0.731126,0.731423,140,1,24,0,0
654.roms_s-1613B_4T,ppf,0,0,0,0,0,0,0,0,0
